"","beta","r","logm1","logm2","sensrate","prop"
"343",0.40011,0.299392,1.8134,0.958535,0.178457,0.910037
"344",0.489681,0.280992,1.87842,0.88153,0.178334,0.95137
"345",0.484175,0.313706,1.72345,1.15207,0.150635,0.981002
"346",0.404424,0.363357,1.42348,1.95217,0.16003,0.994614
"347",0.399843,0.229288,1.21497,1.41209,0.14517,0.92833
"348",0.399843,0.229288,1.21497,1.41209,0.14517,0.92833
"349",0.428406,0.497214,1.76412,1.22508,0.182053,0.7966
"350",0.384172,0.244881,0.943057,4.03029,0.146533,0.98992
"351",0.376944,0.387111,1.03154,2.77029,0.15301,0.99025
"352",0.449009,0.376813,1.96484,1.73619,0.166798,0.92743
"353",0.491468,0.178489,2.03402,0.933504,0.166833,0.903396
"354",0.37715,0.547234,1.83577,1.62427,0.145869,0.861841
"355",0.460271,0.189397,1.54686,1.00573,0.140652,0.934003
"356",0.449395,0.432378,1.37927,1.11008,0.165218,0.990646
"357",0.41894,0.204148,1.93137,1.85525,0.121181,0.896921
"358",0.443574,0.42453,1.23063,1.61417,0.183678,0.990238
"359",0.359197,0.262752,1.47426,2.65578,0.163108,0.839647
"360",0.461494,0.26845,1.93534,2.19123,0.164613,0.955162
"361",0.461494,0.26845,1.93534,2.19123,0.164613,0.955162
"362",0.418106,0.159855,2.15772,1.64168,0.143916,0.915418
"363",0.448162,0.621798,1.74055,1.90748,0.169675,0.938097
"364",0.450671,0.556371,1.79475,1.05513,0.163391,0.967637
"365",0.378164,0.327642,1.32671,0.900641,0.147305,0.986478
"366",0.465842,0.219589,1.48058,1.51185,0.135529,0.999529
"367",0.394676,0.561331,2.28726,1.07741,0.146774,0.752432
"368",0.528278,0.139318,2.30724,2.55859,0.180422,0.982017
"369",0.345922,0.307432,1.81342,3.18799,0.144418,0.877726
"370",0.345922,0.307432,1.81342,3.18799,0.144418,0.877726
"371",0.492182,0.182849,1.57535,0.868449,0.157147,0.907829
"372",0.404563,0.348389,1.32575,3.50321,0.144834,0.985282
